finance,natural_disaster,rate_economic_cond,own_or_rent,edu,race
About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic
Somewhat better off,Somewhat higher,Only fair,Neither own nor pay rent,Some college or Associate's degree,Black
About the same,Much higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Much higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic
Much worse off,Much lower,Poor,Neither own nor pay rent,No high school diploma or GED,Hispanic
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Asian
Somewhat better off,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic
About the same,Somewhat higher,Poor,Pay rent,Bachelor's degree or higher,Asian
Somewhat worse off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,Black
Much worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much better off,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic
Somewhat worse off,Much higher,Poor,Neither own nor pay rent,Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic
Somewhat worse off,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian
About the same,Much higher,Only fair,Pay rent,Bachelor's degree or higher,Black
About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian
About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,About the same,Good,Pay rent,Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Much higher,Only fair,Pay rent,Some college or Associate's degree,Hispanic
Somewhat worse off,About the same,Poor,Pay rent,No high school diploma or GED,White
Much worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Good,Pay rent,No high school diploma or GED,Hispanic
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Other
Much worse off,Much lower,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,Much higher,Only fair,Pay rent,No high school diploma or GED,Black
About the same,About the same,Only fair,Pay rent,No high school diploma or GED,White
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,Much higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Black
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic
Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Much higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Much worse off,Much higher,Poor,Pay rent,Some college or Associate's degree,Other
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Only fair,Pay rent,Bachelor's degree or higher,Asian
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Black
About the same,About the same,Only fair,Neither own nor pay rent,Some college or Associate's degree,Hispanic
About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Poor,Pay rent,No high school diploma or GED,Other
About the same,Much higher,Good,Neither own nor pay rent,No high school diploma or GED,Hispanic
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
